"district","candidate_placement","candidate_name","candidate_answer_status","candidate_photo_url","candidate_url","done","party"
"Reykjavík suður",3,"Sigurbjörg Erla Egilsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Sigurbjorg-Erla-Egilsdottir/",1,"Píratar"
"Reykjavík suður",4,"Sigríður Fossberg Thorlacius","cand ok","","/kosningar2013/frambod/fulltrui/Sigridur-Fossberg-Thorlacius/",1,"Píratar"
"Reykjavík suður",5,"Arnaldur Sigurðarson","cand ok","","/kosningar2013/frambod/fulltrui/Arnaldur-Sigurdarson/",1,"Píratar"
"Reykjavík suður",1,"Júlíus Valdimarsson","cand ok","","/kosningar2013/frambod/fulltrui/julius-valdimarsson/",1,"Húmanistaflokkurinn"
"Reykjavík suður",2,"Melkorka Edda Freysteinsdóttir","cand not","","/kosningar2013/frambod/fulltrui/melkorka-edda-freysteinsdottir/",0,"Húmanistaflokkurinn"
"Reykjavík suður",3,"Jón Ásgeir Eyjólfsson","cand ok","","/kosningar2013/frambod/fulltrui/jon-asgeir-eyjolfsson/",1,"Húmanistaflokkurinn"
"Reykjavík suður",4,"Helga Nína Heimisdóttir","cand not","","/kosningar2013/frambod/fulltrui/helga-nina-heimisdottir/",0,"Húmanistaflokkurinn"
"Reykjavík suður",5,"Vilmundur Kristjánsson","cand ok","","/kosningar2013/frambod/fulltrui/vilmundur-kristjansson/",1,"Húmanistaflokkurinn"
"Reykjavík suður",1,"Jón E Árnason","cand ok","","/kosningar2013/frambod/fulltrui/jon-e-arnason/",1,"Hægri Grænir"
"Reykjavík suður",2,"Pétur Fjeldsted Einarsson","cand not","","/kosningar2013/frambod/fulltrui/petur-fjeldsted-einarsson/",0,"Hægri Grænir"
"Reykjavík suður",3,"Sigurður Ingólfsson","cand ok","","/kosningar2013/frambod/fulltrui/sigurdur-ingolfsson/",1,"Hægri Grænir"
"Reykjavík suður",4,"Katrín Guðjónsson","cand ok","","/kosningar2013/frambod/fulltrui/katrin-gudjonsson/",1,"Hægri Grænir"
"Reykjavík suður",5,"Kristján Árni Kristjánsson","cand not","","/kosningar2013/frambod/fulltrui/kristjan-arni-kristjansson/",0,"Hægri Grænir"
"Norðvestur",1,"Pálmey Gísladóttir","cand ok","","/kosningar2013/frambod/fulltrui/palmey-gisladottir/",1,"Flokkur heimilanna"
